epoch,training_loss,training_accuracy,validation_loss,validation_accuracy,time_stamp
0,0.42242672642072043,0.18458333333333332,0.3630906492471695,0.22,2024-12-11 15:22:07.993683
1,0.35129971981048586,0.2675,0.33406210005283354,0.32625,2024-12-11 15:22:07.993683
2,0.3267961935202281,0.36541666666666667,0.31692899465560914,0.38,2024-12-11 15:22:07.993683
3,0.31047060738007226,0.39875,0.3054828768968582,0.395,2024-12-11 15:22:07.993683
4,0.29351165463527046,0.44583333333333336,0.28504524886608124,0.45375,2024-12-11 15:22:07.993683
5,0.27644398699204126,0.48125,0.25117805033922197,0.5625,2024-12-11 15:22:07.993683
6,0.2634478035569191,0.50625,0.25935057550668716,0.52625,2024-12-11 15:22:07.993683
7,0.2552829333146413,0.5304166666666666,0.24190108180046083,0.55,2024-12-11 15:22:07.993683
8,0.24452500174442926,0.55625,0.23627283275127411,0.6,2024-12-11 15:22:07.993683
9,0.23335655887921652,0.5958333333333333,0.23504328221082688,0.595,2024-12-11 15:22:07.993683
10,0.22849269767602284,0.5866666666666667,0.23193385660648347,0.5825,2024-12-11 15:22:07.993683
11,0.21600304861863454,0.6295833333333334,0.22448207795619965,0.56625,2024-12-11 15:22:07.993683
12,0.21248499403397242,0.6316666666666667,0.2134053897857666,0.62375,2024-12-11 15:22:07.993683
13,0.20621233239769934,0.6358333333333334,0.2117123344540596,0.62875,2024-12-11 15:22:07.993683
14,0.20209225207567216,0.6425,0.19412307173013688,0.655,2024-12-11 15:22:07.993683
15,0.19837384209036826,0.6545833333333333,0.19556717216968536,0.6475,2024-12-11 15:22:07.993683
16,0.19412528296311696,0.6608333333333334,0.19858770921826363,0.63625,2024-12-11 15:22:07.993683
17,0.19143280640244484,0.6683333333333333,0.19477685436606407,0.6525,2024-12-11 15:22:07.993683
18,0.1925393483042717,0.6604166666666667,0.18871627777814864,0.66375,2024-12-11 15:22:07.993683
19,0.1858775653441747,0.67,0.2018527466058731,0.6325,2024-12-11 15:22:07.993683
20,0.18248654956618945,0.6816666666666666,0.18350158870220185,0.67375,2024-12-11 15:22:07.993683
21,0.17740922600030898,0.6779166666666666,0.1675577563047409,0.7,2024-12-11 15:22:07.993683
22,0.1767031419277191,0.6966666666666667,0.17223007678985597,0.70625,2024-12-11 15:22:07.993683
23,0.1758228759467602,0.6908333333333333,0.1677111068367958,0.70625,2024-12-11 15:22:07.993683
24,0.17291935871044795,0.7070833333333333,0.17134113103151322,0.70125,2024-12-11 15:22:07.993683
25,0.1670816035568714,0.7158333333333333,0.1498145266622305,0.7375,2024-12-11 15:22:07.993683
26,0.1569520237048467,0.7216666666666667,0.17016419529914856,0.7075,2024-12-11 15:22:07.993683
27,0.16654953236381212,0.7075,0.15191734097898008,0.74,2024-12-11 15:22:07.993683
28,0.16760837266842524,0.7058333333333333,0.16116364553570747,0.71625,2024-12-11 15:22:07.993683
29,0.16183846920728684,0.7120833333333333,0.1490865033864975,0.75625,2024-12-11 15:22:07.993683
30,0.15965172206362088,0.7120833333333333,0.1460249450057745,0.7475,2024-12-11 15:22:07.993683
31,0.1610041271398465,0.7179166666666666,0.14482614979147912,0.75875,2024-12-11 15:22:07.993683
32,0.15403206750750542,0.7241666666666666,0.15813616722822188,0.70625,2024-12-11 15:22:07.993683
33,0.1524373764793078,0.7325,0.15091743752360343,0.73125,2024-12-11 15:22:07.993683
34,0.14925652161240577,0.7375,0.1464017927646637,0.75375,2024-12-11 15:22:07.993683
35,0.14439863607287406,0.7495833333333334,0.13648750312626362,0.7625,2024-12-11 15:22:07.993683
36,0.14479647186895211,0.7420833333333333,0.14367313385009767,0.75,2024-12-11 15:22:07.993683
37,0.14742881186306478,0.7408333333333333,0.1428210400044918,0.74,2024-12-11 15:22:07.993683
38,0.15008907414972783,0.7308333333333333,0.14557484716176985,0.73625,2024-12-11 15:22:07.993683
39,0.1459514028330644,0.7408333333333333,0.13601328752934932,0.75625,2024-12-11 15:22:07.993683
40,0.1461227846890688,0.7445833333333334,0.15154877565801145,0.74125,2024-12-11 15:22:07.993683
41,0.13579163638254008,0.7620833333333333,0.1469529088586569,0.74,2024-12-11 15:22:07.993683
