epoch,training_loss,training_accuracy,validation_loss,validation_accuracy,time_stamp
0,0.5399215705692768,0.209375,0.3838177025318146,0.2375,2024-11-12 13:22:40.980852
1,0.350990305095911,0.4375,0.3207960695028305,0.5125,2024-11-12 13:22:40.980852
2,0.28828603960573673,0.6609375,0.2674136504530907,0.6375,2024-11-12 13:22:40.980852
3,0.24028354287147521,0.74375,0.21058110147714615,0.78125,2024-11-12 13:22:40.980852
4,0.19344918243587017,0.85,0.18332614451646806,0.80625,2024-11-12 13:22:40.980852
5,0.16223562471568584,0.8765625,0.15595962554216386,0.8,2024-11-12 13:22:40.980852
6,0.1278800942003727,0.91875,0.12784977331757547,0.9125,2024-11-12 13:22:40.980852
7,0.10117462910711765,0.9515625,0.1179377943277359,0.875,2024-11-12 13:22:40.980852
8,0.08383225817233324,0.953125,0.09958528503775596,0.9,2024-11-12 13:22:40.980852
9,0.0677121083252132,0.971875,0.10155881717801094,0.89375,2024-11-12 13:22:40.980852
10,0.056116091925650834,0.978125,0.0832136906683445,0.93125,2024-11-12 13:22:40.980852
11,0.04556797188706696,0.9828125,0.0772657833993435,0.9375,2024-11-12 13:22:40.980852
12,0.03578868228942156,0.9921875,0.07146135736256838,0.925,2024-11-12 13:22:40.980852
13,0.030879297666251658,0.996875,0.06334415748715401,0.9375,2024-11-12 13:22:40.980852
14,0.02701673861593008,0.990625,0.07119138613343239,0.9125,2024-11-12 13:22:40.980852
15,0.019805233669467272,0.996875,0.05612506614997983,0.95,2024-11-12 13:22:40.980852
16,0.01797146878670901,0.996875,0.06357471905648708,0.925,2024-11-12 13:22:40.980852
17,0.01350644426420331,1.0,0.0577346995472908,0.95,2024-11-12 13:22:40.980852
18,0.01131985776592046,1.0,0.055401984788477424,0.9375,2024-11-12 13:22:40.980852
19,0.00995179171441123,0.9984375,0.061908992007374763,0.91875,2024-11-12 13:22:40.980852
20,0.009745246183592826,0.9984375,0.056464190036058425,0.93125,2024-11-12 13:22:40.980852
21,0.007625740475486964,1.0,0.05821253741160035,0.9375,2024-11-12 13:22:40.980852
22,0.006988982617622241,1.0,0.059405532339587806,0.9375,2024-11-12 13:22:40.980852
23,0.005823189101647586,1.0,0.05149951465427875,0.925,2024-11-12 13:22:40.980852
24,0.004856372153153643,1.0,0.057576503977179526,0.91875,2024-11-12 13:22:40.980852
25,0.004890728410100564,1.0,0.054237964749336245,0.9125,2024-11-12 13:22:40.980852
26,0.004214054212206974,1.0,0.04761448726058006,0.95625,2024-11-12 13:22:40.980852
27,0.0036283778725191953,1.0,0.05695803258568048,0.94375,2024-11-12 13:22:40.980852
28,0.003478262311546132,1.0,0.048188085574656724,0.95,2024-11-12 13:22:40.980852
29,0.0033683201763778925,1.0,0.05681356014683843,0.9375,2024-11-12 13:22:40.980852
30,0.002957094000885263,1.0,0.046549550630152224,0.94375,2024-11-12 13:22:40.980852
31,0.0032609632035018876,1.0,0.04744227435439825,0.94375,2024-11-12 13:22:40.980852
32,0.0025539068214129657,1.0,0.060616915486752986,0.91875,2024-11-12 13:22:40.980852
33,0.0023621027561603115,1.0,0.05838172100484371,0.91875,2024-11-12 13:22:40.980852
34,0.002707261618343182,1.0,0.0669388678856194,0.93125,2024-11-12 13:22:40.980852
35,0.00292876721941866,1.0,0.06174436351284385,0.9375,2024-11-12 13:22:40.980852
36,0.0019969667671830395,1.0,0.05458612954244017,0.925,2024-11-12 13:22:40.980852
37,0.0018071978556690738,1.0,0.052221116982400416,0.925,2024-11-12 13:22:40.980852
38,0.001915320463012904,1.0,0.04870222667232156,0.94375,2024-11-12 13:22:40.980852
39,0.00191928835993167,1.0,0.05908021591603756,0.9375,2024-11-12 13:22:40.980852
40,0.00177045797026949,1.0,0.0564499493688345,0.93125,2024-11-12 13:22:40.980852
41,0.0013574990880442783,1.0,0.05264538172632456,0.93125,2024-11-12 13:22:40.980852
42,0.0015181642695097253,1.0,0.04789466094225645,0.95625,2024-11-12 13:22:40.980852
43,0.0013710812854696997,1.0,0.05559809762053192,0.91875,2024-11-12 13:22:40.980852
44,0.0011907046733540482,1.0,0.07296906374394893,0.93125,2024-11-12 13:22:40.980852
45,0.0012229859697981738,1.0,0.04892240851186216,0.93125,2024-11-12 13:22:40.980852
46,0.0012438137404387818,1.0,0.053174192644655706,0.93125,2024-11-12 13:22:40.980852
47,0.0013364897313294932,1.0,0.04457424059510231,0.94375,2024-11-12 13:22:40.980852
48,0.0009976692563213874,1.0,0.0661706704646349,0.925,2024-11-12 13:22:40.980852
49,0.0008008384073036722,1.0,0.0517427587416023,0.9375,2024-11-12 13:22:40.980852
