epoch,training_loss,training_accuracy,validation_loss,validation_accuracy,time_stamp
0,0.5049486617247264,0.13645833333333332,0.3769753793875376,0.18125,2024-12-11 13:34:35.387723
1,0.3726871445775032,0.18333333333333332,0.36674239337444303,0.19375,2024-12-11 13:34:35.387723
2,0.36271825184424716,0.259375,0.35629892349243164,0.25,2024-12-11 13:34:35.387723
3,0.3495128184556961,0.29791666666666666,0.3492871254682541,0.29583333333333334,2024-12-11 13:34:35.387723
4,0.3401006932059924,0.3104166666666667,0.3299048403898875,0.29791666666666666,2024-12-11 13:34:35.387723
5,0.326966160039107,0.35208333333333336,0.3161989192167918,0.375,2024-12-11 13:34:35.387723
6,0.32029165923595426,0.36041666666666666,0.3063833177089691,0.39375,2024-12-11 13:34:35.387723
7,0.3094372309744358,0.39479166666666665,0.30278988381226857,0.43125,2024-12-11 13:34:35.387723
8,0.30419470369815826,0.42291666666666666,0.2900841563940048,0.45625,2024-12-11 13:34:35.387723
9,0.30381557568907736,0.409375,0.2907081002990405,0.4375,2024-12-11 13:34:35.387723
10,0.2934458782275518,0.42604166666666665,0.28577777445316316,0.42916666666666664,2024-12-11 13:34:35.387723
11,0.2946864406267802,0.4354166666666667,0.2918205345670382,0.4583333333333333,2024-12-11 13:34:35.387723
12,0.2839038920899232,0.45625,0.28077564189831417,0.46041666666666664,2024-12-11 13:34:35.387723
13,0.2835210107266903,0.45,0.28203299939632415,0.4479166666666667,2024-12-11 13:34:35.387723
14,0.273065705349048,0.503125,0.2757752239704132,0.49166666666666664,2024-12-11 13:34:35.387723
15,0.26793365081151327,0.509375,0.24900720069805782,0.5229166666666667,2024-12-11 13:34:35.387723
16,0.26705289383729297,0.5135416666666667,0.27651949375867846,0.48125,2024-12-11 13:34:35.387723
17,0.2585192379852136,0.5291666666666667,0.26007945040861763,0.5125,2024-12-11 13:34:35.387723
18,0.2592600420117378,0.5239583333333333,0.2616704766949018,0.5208333333333334,2024-12-11 13:34:35.387723
19,0.25321181217829386,0.540625,0.24281357377767562,0.5791666666666667,2024-12-11 13:34:35.387723
20,0.24090248395999272,0.5708333333333333,0.2510852381587029,0.5291666666666667,2024-12-11 13:34:35.387723
21,0.24845949411392212,0.5333333333333333,0.2520807350675265,0.5541666666666667,2024-12-11 13:34:35.387723
22,0.24230912774801255,0.5458333333333333,0.23821126520633698,0.5666666666666667,2024-12-11 13:34:35.387723
23,0.22735583831866582,0.6041666666666666,0.24690492302179337,0.5458333333333333,2024-12-11 13:34:35.387723
24,0.2392405408124129,0.5604166666666667,0.22704721838235856,0.59375,2024-12-11 13:34:35.387723
25,0.223964624106884,0.6020833333333333,0.2272101253271103,0.5854166666666667,2024-12-11 13:34:35.387723
26,0.22269462049007416,0.6020833333333333,0.23070281768838566,0.6020833333333333,2024-12-11 13:34:35.387723
27,0.22292658214767774,0.596875,0.23870381663242976,0.5854166666666667,2024-12-11 13:34:35.387723
28,0.2261518766482671,0.5916666666666667,0.2154470130801201,0.6083333333333333,2024-12-11 13:34:35.387723
29,0.21210334276159604,0.6260416666666667,0.21188177913427353,0.6229166666666667,2024-12-11 13:34:35.387723
30,0.2121517355243365,0.6395833333333333,0.21662889868021012,0.5791666666666667,2024-12-11 13:34:35.387723
31,0.21358378132184347,0.6364583333333333,0.21018541703621546,0.6270833333333333,2024-12-11 13:34:35.387723
32,0.2076342230041822,0.6354166666666666,0.20557977159818014,0.6145833333333334,2024-12-11 13:34:35.387723
33,0.20888278658191364,0.628125,0.2113684261838595,0.6145833333333334,2024-12-11 13:34:35.387723
34,0.20694767956932386,0.6416666666666667,0.19839600672324498,0.6520833333333333,2024-12-11 13:34:35.387723
35,0.1951806280761957,0.6614583333333334,0.2177032674352328,0.6229166666666667,2024-12-11 13:34:35.387723
36,0.19138698577880858,0.665625,0.19134806618094444,0.6875,2024-12-11 13:34:35.387723
37,0.20297990627586843,0.63125,0.2025774891177813,0.6354166666666666,2024-12-11 13:34:35.387723
38,0.19806420070429642,0.6604166666666667,0.1859507550795873,0.6875,2024-12-11 13:34:35.387723
39,0.19015974290668963,0.6739583333333333,0.2178098315993945,0.6041666666666666,2024-12-11 13:34:35.387723
40,0.1989592461536328,0.6635416666666667,0.1844764736791452,0.675,2024-12-11 13:34:35.387723
41,0.1813185138007005,0.6885416666666667,0.2037319928407669,0.65,2024-12-11 13:34:35.387723
42,0.18748432509601115,0.6677083333333333,0.18395649269223213,0.6770833333333334,2024-12-11 13:34:35.387723
43,0.18955491321782272,0.6552083333333333,0.18479277888933818,0.6916666666666667,2024-12-11 13:34:35.387723
44,0.18355984687805177,0.6729166666666667,0.19134386827548344,0.6708333333333333,2024-12-11 13:34:35.387723
45,0.1835061188787222,0.6739583333333333,0.18217534547050793,0.6833333333333333,2024-12-11 13:34:35.387723
46,0.1923173598945141,0.6802083333333333,0.20334167629480362,0.61875,2024-12-11 13:34:35.387723
47,0.18039454743266106,0.684375,0.18764963870247206,0.6645833333333333,2024-12-11 13:34:35.387723
48,0.18035430796444415,0.684375,0.17699643348654112,0.7,2024-12-11 13:34:35.387723
49,0.18270770249267418,0.6739583333333333,0.1795132574935754,0.6708333333333333,2024-12-11 13:34:35.387723
50,0.18491544847687086,0.6729166666666667,0.17982287282745044,0.6791666666666667,2024-12-11 13:34:35.387723
51,0.17864858508110046,0.6833333333333333,0.16394352714220684,0.7083333333333334,2024-12-11 13:34:35.387723
52,0.17616798852880797,0.6822916666666666,0.17455220669507981,0.6875,2024-12-11 13:34:35.387723
53,0.17250062140325706,0.6979166666666666,0.16913666476806005,0.7083333333333334,2024-12-11 13:34:35.387723
54,0.18068486265838146,0.6697916666666667,0.1821679857869943,0.65625,2024-12-11 13:34:35.387723
55,0.16817826541761557,0.7145833333333333,0.1638951579729716,0.7083333333333334,2024-12-11 13:34:35.387723
56,0.1717591838290294,0.6947916666666667,0.1780488779147466,0.6854166666666667,2024-12-11 13:34:35.387723
57,0.16701626852154733,0.7072916666666667,0.1727852667371432,0.6916666666666667,2024-12-11 13:34:35.387723
58,0.15611112626890342,0.7208333333333333,0.18756773049632708,0.6708333333333333,2024-12-11 13:34:35.387723
59,0.16169236252705257,0.71875,0.1710295245051384,0.6979166666666666,2024-12-11 13:34:35.387723
60,0.1743817945321401,0.6895833333333333,0.15409406224886577,0.73125,2024-12-11 13:34:35.387723
61,0.17267925813794135,0.684375,0.16906622921427092,0.6979166666666666,2024-12-11 13:34:35.387723
62,0.1721138657381137,0.6885416666666667,0.17192760333418847,0.6854166666666667,2024-12-11 13:34:35.387723
63,0.1639359629402558,0.7145833333333333,0.16848643173774083,0.6958333333333333,2024-12-11 13:34:35.387723
64,0.15724772053460281,0.721875,0.15097707274059455,0.71875,2024-12-11 13:34:35.387723
65,0.1566817202915748,0.7260416666666667,0.19300716817379,0.6395833333333333,2024-12-11 13:34:35.387723
66,0.15212029591202736,0.7291666666666666,0.1627109872798125,0.7104166666666667,2024-12-11 13:34:35.387723
67,0.15770016312599183,0.71875,0.16470098470648128,0.7,2024-12-11 13:34:35.387723
68,0.15878787698845068,0.734375,0.1488809511065483,0.7458333333333333,2024-12-11 13:34:35.387723
69,0.1500901813308398,0.734375,0.15851844971378645,0.71875,2024-12-11 13:34:35.387723
70,0.16148770848910013,0.7260416666666667,0.15579443300763765,0.7375,2024-12-11 13:34:35.387723
71,0.15118041696647802,0.7260416666666667,0.17125608436763287,0.7208333333333333,2024-12-11 13:34:35.387723
72,0.14791443621118863,0.7291666666666666,0.1650350252787272,0.7375,2024-12-11 13:34:35.387723
73,0.148772240554293,0.7302083333333333,0.17505732377370198,0.6583333333333333,2024-12-11 13:34:35.387723
74,0.14383061416447163,0.746875,0.15038269783059757,0.7166666666666667,2024-12-11 13:34:35.387723
75,0.1504697178800901,0.7322916666666667,0.16439482097824415,0.7020833333333333,2024-12-11 13:34:35.387723
76,0.15586984604597093,0.7354166666666667,0.14206350321571032,0.7541666666666667,2024-12-11 13:34:35.387723
77,0.15634200523296993,0.715625,0.1667931134502093,0.6916666666666667,2024-12-11 13:34:35.387723
78,0.15319024038811524,0.715625,0.15768546462059022,0.6979166666666666,2024-12-11 13:34:35.387723
79,0.14928351044654847,0.7375,0.15462367609143257,0.7229166666666667,2024-12-11 13:34:35.387723
80,0.15535742081701756,0.7197916666666667,0.15555036067962646,0.7104166666666667,2024-12-11 13:34:35.387723
81,0.16059481942405304,0.7197916666666667,0.16564867570996283,0.6854166666666667,2024-12-11 13:34:35.387723
82,0.14157702115674814,0.7645833333333333,0.15791011253992718,0.68125,2024-12-11 13:34:35.387723
83,0.15315347171078125,0.728125,0.1699462483326594,0.7,2024-12-11 13:34:35.387723
84,0.14281507643560568,0.7395833333333334,0.15345313760141532,0.7208333333333333,2024-12-11 13:34:35.387723
85,0.1568570357436935,0.70625,0.16095891694227854,0.7041666666666667,2024-12-11 13:34:35.387723
86,0.14451474398374559,0.7510416666666667,0.14840621526042622,0.7229166666666667,2024-12-11 13:34:35.387723
87,0.15972337772448858,0.7260416666666667,0.1480070939908425,0.7208333333333333,2024-12-11 13:34:35.387723
88,0.14914230952660243,0.7416666666666667,0.15465370242794355,0.6895833333333333,2024-12-11 13:34:35.387723
89,0.14193184822797775,0.73125,0.1530175191660722,0.7229166666666667,2024-12-11 13:34:35.387723
90,0.14608777264753978,0.7354166666666667,0.1275218404829502,0.7854166666666667,2024-12-11 13:34:35.387723
91,0.13904072766502698,0.759375,0.1356427768866221,0.7645833333333333,2024-12-11 13:34:35.387723
92,0.13502571222682794,0.7572916666666667,0.13560859809319178,0.7520833333333333,2024-12-11 13:34:35.387723
93,0.14145883129288753,0.7583333333333333,0.14591384356220563,0.75,2024-12-11 13:34:35.387723
94,0.14104893176505964,0.7541666666666667,0.15799222042163213,0.7145833333333333,2024-12-11 13:34:35.387723
