epoch,training_loss,training_accuracy,validation_loss,validation_accuracy,time_stamp
0,0.41613620380560556,0.17416666666666666,0.36269703090190886,0.21,2024-12-11 22:31:00.407697
1,0.3499611457188924,0.27541666666666664,0.33193157136440277,0.3875,2024-12-11 22:31:00.407697
2,0.31869540135065716,0.3854166666666667,0.30876124441623687,0.4175,2024-12-11 22:31:00.407697
3,0.29645314941803613,0.4529166666666667,0.2887333184480667,0.4675,2024-12-11 22:31:00.407697
4,0.27282055785258613,0.5054166666666666,0.2574111595749855,0.53625,2024-12-11 22:31:00.407697
5,0.25523289024829865,0.54625,0.2455310505628586,0.55125,2024-12-11 22:31:00.407697
6,0.24104855269193648,0.5654166666666667,0.23889172881841658,0.57625,2024-12-11 22:31:00.407697
7,0.23455247640609742,0.5770833333333333,0.22985653460025787,0.575,2024-12-11 22:31:00.407697
8,0.22760119279225668,0.5954166666666667,0.22350993722677232,0.6075,2024-12-11 22:31:00.407697
9,0.2157216360171636,0.6233333333333333,0.2268638452887535,0.575,2024-12-11 22:31:00.407697
10,0.21254100739955903,0.6320833333333333,0.22789978832006455,0.58625,2024-12-11 22:31:00.407697
11,0.20554600566625594,0.6433333333333333,0.21995785504579543,0.59125,2024-12-11 22:31:00.407697
12,0.2016003396610419,0.6445833333333333,0.20234041035175324,0.63,2024-12-11 22:31:00.407697
13,0.1908762232462565,0.66,0.19393745094537734,0.65875,2024-12-11 22:31:00.407697
14,0.18771862626075744,0.6745833333333333,0.20384034872055054,0.61,2024-12-11 22:31:00.407697
15,0.1892883762717247,0.6541666666666667,0.18367619216442108,0.65625,2024-12-11 22:31:00.407697
16,0.1806279161075751,0.68625,0.18804130613803863,0.6625,2024-12-11 22:31:00.407697
17,0.18240018432339034,0.6870833333333334,0.19666810229420661,0.66,2024-12-11 22:31:00.407697
18,0.1813040209809939,0.6758333333333333,0.1703534719347954,0.70625,2024-12-11 22:31:00.407697
19,0.1755567343533039,0.68375,0.1713199235498905,0.68875,2024-12-11 22:31:00.407697
20,0.17112226818998655,0.6991666666666667,0.18158917352557183,0.6625,2024-12-11 22:31:00.407697
21,0.1741562643647194,0.6975,0.1658857397735119,0.7025,2024-12-11 22:31:00.407697
22,0.17032673512895902,0.7,0.1638417799770832,0.7075,2024-12-11 22:31:00.407697
23,0.16843239640196164,0.69625,0.1531084081530571,0.7175,2024-12-11 22:31:00.407697
24,0.16265446526308855,0.70625,0.15515907600522041,0.72375,2024-12-11 22:31:00.407697
25,0.16009969289104145,0.7116666666666667,0.15741507038474084,0.72625,2024-12-11 22:31:00.407697
26,0.15272641325990358,0.73875,0.16166222468018532,0.70875,2024-12-11 22:31:00.407697
27,0.15789153968294461,0.7175,0.14634785883128643,0.74125,2024-12-11 22:31:00.407697
28,0.15930139740308125,0.7116666666666667,0.14749672837555408,0.7275,2024-12-11 22:31:00.407697
29,0.15406991943717002,0.7220833333333333,0.1484920287132263,0.7225,2024-12-11 22:31:00.407697
30,0.15162850096821784,0.7266666666666667,0.14784435600042342,0.74125,2024-12-11 22:31:00.407697
31,0.1555211541056633,0.7229166666666667,0.14677732944488525,0.74625,2024-12-11 22:31:00.407697
32,0.1496962371468544,0.7370833333333333,0.17154051423072814,0.69875,2024-12-11 22:31:00.407697
33,0.15086280951897305,0.7345833333333334,0.15383782610297203,0.73875,2024-12-11 22:31:00.407697
34,0.1427223555246989,0.7479166666666667,0.1485190324485302,0.72875,2024-12-11 22:31:00.407697
35,0.14196632881959279,0.74625,0.14194058254361153,0.74,2024-12-11 22:31:00.407697
36,0.1427150294929743,0.75375,0.13985644817352294,0.74625,2024-12-11 22:31:00.407697
37,0.14396156504750252,0.74875,0.14063674733042716,0.74625,2024-12-11 22:31:00.407697
38,0.14409396121899287,0.7441666666666666,0.13819570682942867,0.74875,2024-12-11 22:31:00.407697
39,0.1421790171911319,0.7495833333333334,0.16044381514191627,0.71875,2024-12-11 22:31:00.407697
40,0.1476637505615751,0.73625,0.14898302614688874,0.72625,2024-12-11 22:31:00.407697
41,0.13398433751116196,0.765,0.13960586234927178,0.7325,2024-12-11 22:31:00.407697
42,0.13619824322561422,0.755,0.13721943870186806,0.745,2024-12-11 22:31:00.407697
43,0.1406574730326732,0.7491666666666666,0.13253861144185067,0.76875,2024-12-11 22:31:00.407697
44,0.13870712898671628,0.7541666666666667,0.133332851305604,0.76375,2024-12-11 22:31:00.407697
45,0.1358861049513022,0.76125,0.1418854421377182,0.72625,2024-12-11 22:31:00.407697
46,0.13687208456297714,0.7529166666666667,0.14603240713477134,0.745,2024-12-11 22:31:00.407697
47,0.13137104503810407,0.7675,0.1422836931794882,0.7425,2024-12-11 22:31:00.407697
48,0.13401231154799462,0.7583333333333333,0.12969160594046117,0.76125,2024-12-11 22:31:00.407697
49,0.13799715866645176,0.7470833333333333,0.12746762193739414,0.77625,2024-12-11 22:31:00.407697
50,0.13089000307023524,0.765,0.13874944023787975,0.75375,2024-12-11 22:31:00.407697
51,0.1304851566751798,0.76875,0.12909265868365766,0.76875,2024-12-11 22:31:00.407697
52,0.13196101049582162,0.7658333333333334,0.13889795199036598,0.74125,2024-12-11 22:31:00.407697
53,0.12316539568205674,0.7783333333333333,0.12498225525021553,0.7525,2024-12-11 22:31:00.407697
54,0.12741163858522972,0.77375,0.1425485298037529,0.73625,2024-12-11 22:31:00.407697
55,0.13090187280128399,0.7608333333333334,0.1365739244222641,0.74625,2024-12-11 22:31:00.407697
56,0.12303698462744554,0.7795833333333333,0.1258582714945078,0.77375,2024-12-11 22:31:00.407697
57,0.1252884018669526,0.775,0.12281678415834904,0.78375,2024-12-11 22:31:00.407697
58,0.12493024085958798,0.77375,0.12585544601082801,0.78625,2024-12-11 22:31:00.407697
59,0.1293995328868429,0.7725,0.12817925542593003,0.75625,2024-12-11 22:31:00.407697
60,0.12419074495633443,0.7729166666666667,0.11739196822047233,0.795,2024-12-11 22:31:00.407697
61,0.1259901533772548,0.7816666666666666,0.12405582882463932,0.775,2024-12-11 22:31:00.407697
62,0.12429110256334146,0.7745833333333333,0.12747513376176356,0.77625,2024-12-11 22:31:00.407697
63,0.12066250423590343,0.7741666666666667,0.1250481228902936,0.76625,2024-12-11 22:31:00.407697
64,0.12185133131841819,0.7841666666666667,0.1277935430407524,0.77,2024-12-11 22:31:00.407697
65,0.12091020919382572,0.785,0.12540957488119603,0.76,2024-12-11 22:31:00.407697
66,0.12139901008456945,0.78625,0.11210329122841359,0.79625,2024-12-11 22:31:00.407697
67,0.11718622550368309,0.785,0.12393685407936574,0.7825,2024-12-11 22:31:00.407697
68,0.1207764118661483,0.7875,0.12629802133888007,0.78625,2024-12-11 22:31:00.407697
69,0.11380506386359533,0.7945833333333333,0.11456773906946183,0.80125,2024-12-11 22:31:00.407697
70,0.11947563003748655,0.7804166666666666,0.11861139830201864,0.81125,2024-12-11 22:31:00.407697
71,0.11719175497690837,0.7866666666666666,0.12114443056285382,0.79375,2024-12-11 22:31:00.407697
72,0.1189639776200056,0.7816666666666666,0.12504753954708575,0.78625,2024-12-11 22:31:00.407697
73,0.11382799102614323,0.7970833333333334,0.11942772425711155,0.79,2024-12-11 22:31:00.407697
74,0.1152541342874368,0.7925,0.11601052280515432,0.79125,2024-12-11 22:31:00.407697
75,0.11975104004144668,0.7808333333333334,0.11961015477776528,0.7875,2024-12-11 22:31:00.407697
76,0.11496457268794377,0.78625,0.11792500458657741,0.7925,2024-12-11 22:31:00.407697
77,0.11537057165056468,0.7879166666666667,0.12289581082761288,0.78375,2024-12-11 22:31:00.407697
78,0.1116245320936044,0.7920833333333334,0.12849320828914643,0.7675,2024-12-11 22:31:00.407697
79,0.1157054340839386,0.7845833333333333,0.1269125995412469,0.7625,2024-12-11 22:31:00.407697
80,0.117317106872797,0.7820833333333334,0.11853664636611938,0.77875,2024-12-11 22:31:00.407697
81,0.11364555830756823,0.79625,0.11000409990549087,0.79375,2024-12-11 22:31:00.407697
82,0.1149778542170922,0.7954166666666667,0.11525925755500793,0.795,2024-12-11 22:31:00.407697
83,0.11490261401360234,0.7833333333333333,0.12045084282755852,0.77875,2024-12-11 22:31:00.407697
84,0.10708419387539228,0.81375,0.118136126101017,0.79625,2024-12-11 22:31:00.407697
85,0.11472975593060256,0.7941666666666667,0.13192956634331496,0.765,2024-12-11 22:31:00.407697
86,0.108085380072395,0.8091666666666667,0.12947328723967075,0.7675,2024-12-11 22:31:00.407697
87,0.1160316602513194,0.78625,0.12460962370038033,0.775,2024-12-11 22:31:00.407697
88,0.11119104222704967,0.7975,0.12006307274103165,0.78625,2024-12-11 22:31:00.407697
89,0.11366411760449409,0.7970833333333334,0.12795248106122017,0.78125,2024-12-11 22:31:00.407697
90,0.11137512017041445,0.80125,0.11283940482884645,0.80625,2024-12-11 22:31:00.407697
91,0.10949396728227535,0.805,0.12386284716427326,0.76875,2024-12-11 22:31:00.407697
92,0.11047145749442279,0.8041666666666667,0.10971639014780521,0.80375,2024-12-11 22:31:00.407697
93,0.11232827646036943,0.7916666666666666,0.11116359233856202,0.79875,2024-12-11 22:31:00.407697
94,0.11129622222545246,0.79125,0.13062515877187253,0.7825,2024-12-11 22:31:00.407697
95,0.10760406142721574,0.80625,0.11662565238773823,0.7775,2024-12-11 22:31:00.407697
96,0.10222866802786787,0.8104166666666667,0.11067106481641531,0.8,2024-12-11 22:31:00.407697
97,0.10763792131096124,0.8045833333333333,0.10934735640883446,0.815,2024-12-11 22:31:00.407697
98,0.10214297108352184,0.8166666666666667,0.10697272084653378,0.81375,2024-12-11 22:31:00.407697
99,0.10945417806506157,0.8058333333333333,0.11871512375771999,0.77,2024-12-11 22:31:00.407697
